ID,AnnualIncome,EmploymentStatus,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,Experience,ApplicationDate,Monthlyincome,Monthlyloanpyament,Totaldebttoincomeratio
A041,38453,Unemployed,48,0,560,0,0,0,20,1539,3481,42871,0,48,595,High School,30517,Divorced,Own,3.82,0,Home,22,5165,46352,6,22.62,54.0,26.0,2018-02-10,3204.4166666666665,971.7721852777134,47.80190420339782
A042,99920,Self-Employed,12,3,298,3,0,0,11,288,23569,4209,1,42,582,Bachelor,23363,Single,Other,615.0,2,Debt Consolidation,20,991,27778,10,17.54,44.0,20.0,2018-02-11,8326.666666666666,2136.808366305109,29.24109327027753
A043,57860,Employed,96,4,159,3,0,0,1,427,25653,437436,0,38,591,High School,25576,Married,Rent,14.4,0,Auto,27,2059,463089,8,28.76,47.0,20.0,2018-02-12,4821.666666666667,683.3074404717203,17.46921756941003
A044,30890,Employed,24,2,289,3,0,0,6,249,28334,14676,0,36,590,High School,10176,Divorced,Own,2.13,1,Education,23,11162,43010,7,17.65,53.0,16.0,2018-02-13,2574.1666666666665,506.30844507940566,30.89576348641265
A045,15561,Employed,36,2,346,6,0,0,13,1463,5913,11052,0,22,500,High School,20169,Single,Rent,10.4,0,Debt Consolidation,25,1929,16965,4,24.23,55.0,1.0,2018-02-14,1296.75,793.7251177011824,87.89089012540447
A046,105957,Employed,72,0,399,0,0,0,16,208,69541,95758,0,31,530,High School,53987,Single,Other,46.4,0,Auto,31,4218,165299,3,32.67,54.0,7.0,2018-02-15,8829.75,1718.1956324589344,23.977979359086437
A047,82887,Employed,84,2,471,2,0,0,8,1246,117394,4958,0,34,545,High School,20996,Divorced,Other,37.4,0,Other,19,16502,17748,2,27.95,50.0,13.0,2018-02-16,6907.25,571.6726663490681,15.095337020508424
A048,53555,Employed,60,1,221,0,0,0,20,1607,27582,2753,0,52,631,Associate,29418,Divorced,Own,2.57,1,Education,28,9902,12300,4,21.76,47.0,31.0,2018-02-17,4462.916666666667,808.4839809169631,23.06751521053787
A049,105639,Employed,108,0,387,1,0,0,21,5476,22300,142935,0,44,627,High School,20409,Widowed,Rent,28.2,4,Home,22,3379,165235,5,26.37,46.0,20.0,2018-02-18,8803.25,495.8944950094278,10.029188027256158
A050,58342,Employed,24,3,592,3,0,0,7,230,15562,9558,0,18,519,High School,10077,Single,Mortgage,1.59,0,Debt Consolidation,20,5076,25120,8,26.06,50.0,0.0,2018-02-19,4861.833333333333,543.1990022920155,23.34919616657671
A051,121939,Employed,48,0,220,2,0,0,12,4000,2457,185710,1,43,653,Doctorate,41215,Divorced,Mortgage,5.32,1,Other,30,1365,188167,8,18.46,32.0,25.0,2018-02-20,10161.583333333334,1220.6199476909617,14.177120832786507
A052,16054,Employed,36,1,465,1,0,0,21,665,11870,39270,0,35,526,Associate,20612,Married,Own,14.4,2,Education,25,4127,51140,6,23.16,53.0,13.0,2018-02-21,1337.8333333333333,799.6046855575714,94.5263250697076
A053,36057,Employed,36,3,384,4,0,0,12,438,56982,1500,0,31,592,Associate,29501,Married,Other,231.0,0,Home,18,2220,19637,4,21.42,51.0,11.0,2018-02-22,3004.75,1117.824020767078,49.98166305905909
A054,124086,Employed,24,3,713,6,0,0,24,1704,21593,10479,1,47,631,High School,36798,Widowed,Mortgage,22.4,1,Auto,27,3281,32072,6,16.76,39.0,27.0,2018-02-23,10340.5,1815.1357614761848,24.448873473005992
A055,272693,Employed,84,0,278,2,0,0,13,1835,5443,88895,1,52,586,Bachelor,19717,Married,Rent,3.72,2,Auto,19,801,94338,8,21.81,38.0,28.0,2018-02-24,22724.416666666668,459.5786860509251,3.245754101722854
A056,48757,Employed,84,3,817,1,0,0,19,266,97462,3120,0,51,615,Bachelor,16173,Divorced,Mortgage,21.0,0,Debt Consolidation,28,21739,39354,2,22.13,51.0,27.0,2018-02-25,4063.0833333333335,380.16712891913056,29.464498527451582
A057,31683,Employed,24,2,183,4,0,0,12,2581,123883,154938,0,29,498,Associate,10566,Married,Other,44.3,2,Debt Consolidation,22,30896,278821,5,20.94,48.0,5.0,2018-02-26,2640.25,542.6294517981495,27.48336149221284
A058,69003,Self-Employed,96,4,458,6,0,0,11,1153,23994,13502,1,36,499,Associate,5376,Single,Mortgage,3.67,2,Auto,28,983,37496,3,24.84,42.0,11.0,2018-02-27,5750.25,129.3822452310598,10.214899269267594
A059,72408,Employed,48,0,803,1,1,0,29,305,33442,5786,0,43,616,Bachelor,23181,Married,Rent,23.4,2,Debt Consolidation,22,3815,22524,4,25.22,63.0,18.0,2018-02-28,6034.0,771.4625166253519,26.093180587095656
A060,105087,Employed,108,1,772,5,0,1,24,2121,59261,142052,0,51,653,Master,48331,Single,Mortgage,11.6,1,Auto,22,21204,201313,4,27.37,44.0,33.0,2018-03-01,8757.25,1208.110902796586,22.61110397438221
A061,15000,Employed,96,1,468,1,0,0,22,2085,11163,223211,0,34,607,Master,26412,Married,Own,3.12,2,Home,18,2232,234374,6,27.64,48.0,11.0,2018-03-02,1250.0,685.3576856060339,92.26861484848273
A062,38513,Self-Employed,48,2,373,2,0,0,29,340,28653,16183,0,37,600,High School,21225,Divorced,Rent,5.18,0,Education,22,1458,44836,4,23.11,51.0,16.0,2018-03-03,3209.4166666666665,681.5722977285952,32.8586907608941
A063,77555,Employed,36,0,499,6,0,0,22,691,9580,29447,1,26,527,Bachelor,22854,Married,Rent,954.0,1,Education,19,8710,39027,5,19.99,39.0,5.0,2018-03-04,6462.916666666667,849.2200913428994,20.860861448152658
A064,15000,Employed,48,0,528,6,0,0,3,1111,274582,1077,0,25,576,High School,18177,Single,Mortgage,2.73,1,Home,25,5689,99036,3,21.98,57.0,1.0,2018-03-05,1250.0,572.4886310130739,88.03909048104592
A065,24973,Employed,48,3,336,1,0,0,12,1547,30121,14823,0,49,611,Bachelor,17466,Married,Own,2.8,0,Auto,23,3167,44944,9,22.14,55.0,30.0,2018-03-06,2081.0833333333335,551.6135213268477,42.65151265735863
A066,18248,Employed,24,0,733,2,0,0,20,548,11483,192648,0,56,574,Associate,16443,Divorced,Own,2.83,1,Home,23,2682,204131,2,17.36,48.0,37.0,2018-03-07,1520.6666666666667,815.826299270367,101.85179521725341
A067,67367,Self-Employed,48,1,317,4,0,0,24,5430,16012,99087,1,39,615,Associate,26889,Married,Mortgage,796.0,0,Debt Consolidation,29,8241,115099,4,17.15,42.0,15.0,2018-03-08,5613.916666666667,777.9715181489026,19.50459159200622
A068,32418,Employed,12,2,447,1,0,0,3,533,12696,313319,0,52,647,Bachelor,32208,Married,Rent,4.13,0,Auto,26,2926,326015,3,15.07,50.0,29.0,2018-03-09,2701.5,2908.103690881007,124.19410293840484
A069,26879,Employed,60,1,562,3,0,0,29,3740,23485,71090,0,44,649,Bachelor,20313,Married,Rent,4.33,2,Home,22,4029,94575,5,19.89,50.0,21.0,2018-03-10,2239.9166666666665,536.9277439703582,49.06109947410358
A070,54128,Employed,36,0,322,2,0,0,7,388,4196,87804,1,32,620,Bachelor,20676,Single,Mortgage,2.63,1,Home,32,4943,92000,1,17.77,36.0,11.0,2018-03-11,4510.666666666667,745.103512130074,23.65733473536966
A071,19924,Employed,48,0,495,3,0,0,19,1679,8051,14660,0,44,535,High School,21767,Married,Mortgage,24.5,0,Education,32,21032,22711,8,29.91,56.0,20.0,2018-03-12,1660.3333333333333,782.603479039416,76.9486134735645
A072,90788,Employed,36,2,153,3,0,0,21,1139,32218,5911,1,58,672,Bachelor,18243,Married,Mortgage,2.97,0,Debt Consolidation,20,1980,13542,6,14.04,34.0,34.0,2018-03-13,7565.666666666667,623.8569765986718,10.268189319275743
A073,190445,Employed,36,3,304,4,0,0,8,956,38230,115773,1,39,619,Master,28894,Single,Mortgage,2.63,1,Other,24,2857,154003,6,21.41,33.0,16.0,2018-03-14,15870.416666666666,1094.6753300308392,8.813097723946584
A074,35372,Employed,24,1,424,3,0,0,26,3235,4752,119179,0,58,612,High School,25313,Married,Mortgage,291.0,0,Education,20,2811,123931,3,19.69,50.0,38.0,2018-03-15,2947.6666666666665,1284.4952757958101,57.960938905206724
A075,15000,Employed,48,1,537,10,0,1,26,3286,71478,82198,0,18,570,Associate,50226,Married,Mortgage,20.8,0,Debt Consolidation,16,3575,153676,3,22.83,58.0,0.0,2018-03-16,1250.0,1605.1427405327327,171.3714192426186
A076,40829,Employed,36,1,785,3,0,0,14,1111,7348,34774,0,49,617,Bachelor,25478,Married,Mortgage,7.32,0,Auto,11,2267,42122,0,17.93,49.0,25.0,2018-03-17,3402.4166666666665,920.1963092885147,50.117210099346494
A077,58655,Employed,96,4,206,4,0,0,13,1731,41991,22423,0,41,523,Associate,26493,Single,Mortgage,4.15,0,Other,24,2003,64414,1,33.44,51.0,16.0,2018-03-18,4887.916666666667,795.089463546411,20.480902842991956
A078,68801,Employed,36,0,1044,1,0,1,16,630,16938,429421,0,36,531,Bachelor,18652,Single,Rent,16.5,2,Auto,30,1810,446359,2,28.57,53.0,14.0,2018-03-19,5733.416666666667,777.2687912990358,31.765854414308556
A079,92731,Employed,48,1,396,4,0,0,3,1004,14838,7629,0,41,619,Bachelor,31116,Single,Rent,12.3,1,Home,20,3025,11209,3,21.54,50.0,19.0,2018-03-20,7727.583333333333,972.5889835048949,17.71043966101815
A080,40050,Self-Employed,48,1,406,4,0,1,2,726,29714,7672,0,18,545,Doctorate,112253,Married,Rent,3.06,1,Home,33,1506,18390,4,35.84,64.0,0.0,2018-03-21,3337.5,4431.797908024258,144.95274630784292
A081,40784,Employed,72,0,370,3,0,0,27,1394,25549,172083,0,37,618,Master,41465,Married,Own,17.4,0,Home,26,21978,197632,4,29.27,45.0,14.0,2018-03-22,3398.6666666666665,1227.9916310673575,47.0181923617308
A082,15000,Employed,48,0,378,3,0,0,21,2246,22556,474038,0,44,588,High School,26563,Married,Mortgage,30.8,3,Home,24,1357,496594,6,20.98,48.0,23.0,2018-03-23,1250.0,822.256036449148,96.02048291593185
A083,86699,Employed,60,0,413,6,0,0,24,8480,70691,8130,1,57,615,Associate,7469,Single,Rent,11.3,2,Home,18,1872,36531,6,19.88,36.0,39.0,2018-03-24,7224.916666666667,197.3844440074556,8.448325041914517
A084,17676,Employed,48,4,226,4,0,0,21,1994,22271,48674,0,33,540,Associate,17801,Married,Own,15.3,1,Debt Consolidation,38,8380,70945,5,24.38,55.0,8.0,2018-03-25,1473.0,584.0911907645587,54.99600751965775
A085,42752,Employed,36,2,363,3,0,0,2,1404,26438,146382,0,30,517,High School,14379,Married,Rent,3.57,0,Auto,18,6094,172820,4,23.96,53.0,4.0,2018-03-26,3562.6666666666665,563.8272407172831,26.014986172827932
A086,29096,Employed,24,3,685,2,0,0,19,1471,50013,36237,0,33,570,Associate,40138,Married,Other,14.1,1,Debt Consolidation,28,1461,86250,4,24.86,53.0,12.0,2018-03-27,2424.6666666666665,2139.407697318128,116.48643238870477
A087,60992,Employed,48,0,664,0,0,0,17,1723,13350,38852,0,50,663,Bachelor,24642,Single,Rent,25.2,0,Home,28,4726,52202,4,21.64,44.0,30.0,2018-03-28,5082.666666666667,771.5646928623075,28.24432108202336
A088,100032,Employed,60,0,824,5,1,0,29,302,4301,45588,1,43,524,Master,19105,Married,Mortgage,10.6,0,Education,24,9197,49889,6,20.96,49.0,21.0,2018-03-29,8336.0,516.4246499433017,16.07995021525074
A089,35882,Employed,48,0,257,3,0,0,11,1162,91262,8266,0,33,620,Master,9259,Single,Own,17.0,0,Home,23,3552,61154,3,20.0,47.0,11.0,2018-03-30,2990.1666666666665,281.75472494178183,18.017548350987635
A090,32781,Employed,60,1,1180,4,0,0,19,2122,4938,294254,0,46,623,High School,17468,Married,Other,8.74,0,Debt Consolidation,23,7428,299192,2,23.2,41.0,22.0,2018-03-31,2731.75,494.4404301581481,61.29552229003928
A091,51707,Employed,72,3,407,5,0,0,7,1252,24580,2253,0,41,585,Bachelor,20069,Married,Rent,59.2,0,Home,25,3815,24114,4,26.82,51.0,18.0,2018-04-01,4308.916666666667,563.2290292398159,22.516774036161042
A092,31251,Unemployed,24,0,357,2,0,1,25,945,37940,3276,0,51,596,Bachelor,66582,Single,Rent,5.66,2,Home,21,2313,30153,5,24.74,61.0,30.0,2018-04-02,2604.25,3544.90275382189,149.82827124208083
A093,22359,Employed,48,2,216,5,0,0,8,3578,46881,84640,0,31,524,High School,26889,Married,Mortgage,22.1,1,Auto,14,24764,131521,4,24.07,57.0,11.0,2018-04-03,1863.25,877.6716439681131,58.69698880816386
A094,152650,Employed,48,3,148,3,0,0,25,587,89100,37909,1,36,610,Associate,24815,Married,Other,10.3,1,Home,21,4346,127009,6,21.35,38.0,12.0,2018-04-04,12720.833333333334,773.0928749805016,7.240821814455303
A095,15120,Self-Employed,84,0,423,5,0,0,26,1245,14697,3825,0,35,562,Master,21849,Married,Rent,5.15,1,Debt Consolidation,24,1874,18522,5,24.41,58.0,11.0,2018-04-05,1260.0,544.818745393088,76.81101153913397
A096,59830,Self-Employed,24,2,246,3,0,0,9,329,13537,435808,1,22,570,Associate,22734,Single,Rent,432.0,2,Debt Consolidation,29,2511,449345,7,17.46,45.0,0.0,2018-04-06,4985.833333333333,1129.0517489881588,27.579175978368557
A097,55308,Employed,72,0,362,3,0,0,24,932,7871,93747,1,43,645,Doctorate,19539,Single,Other,7.15,0,Debt Consolidation,29,5995,101618,4,16.96,36.0,22.0,2018-04-07,4609.0,434.2311681223962,17.275573185558606
A098,30948,Employed,36,0,286,1,0,0,25,291,21318,78660,0,43,601,Bachelor,25291,Married,Mortgage,5.09,0,Auto,19,7167,99978,9,22.33,49.0,17.0,2018-04-08,2579.0,970.197749881371,48.70871461346921
A099,56940,Employed,96,0,213,3,0,0,7,634,33321,64448,0,40,592,Associate,15752,Married,Mortgage,4.25,0,Debt Consolidation,20,1349,97769,5,26.16,50.0,21.0,2018-04-09,4745.0,392.9645356920381,12.770590847039792
A100,44000,Employed,60,3,457,3,0,0,29,2939,29418,301790,0,37,539,High School,28714,Married,Rent,41.4,1,Home,10,5872,331208,8,24.41,46.0,13.0,2018-04-10,3666.6666666666665,832.8908467445619,35.17884127485169
A101,81554,Employed,72,1,519,5,0,0,24,1955,14641,69780,0,23,509,High School,35101,Married,Rent,3.57,0,Home,23,3233,84421,5,31.65,49.0,4.0,2018-04-11,6796.166666666667,1093.600485074802,23.72808914449031
A102,26567,Employed,60,1,194,1,0,0,14,512,81589,9625,0,34,612,Bachelor,17339,Single,Mortgage,8.73,1,Education,17,2738,55729,4,23.21,48.0,13.0,2018-04-12,2213.9166666666665,490.88885100741004,30.93562017574028
A103,33569,Employed,48,0,212,3,0,0,8,12534,23346,33106,0,35,596,Bachelor,37172,Divorced,Mortgage,2.62,0,Home,20,2103,56452,6,22.45,51.0,9.0,2018-04-13,2797.4166666666665,1180.2439831891725,49.76891715055579
A104,94238,Employed,36,3,203,3,0,0,2,7940,13137,41531,1,30,608,Bachelor,15917,Married,Own,16.4,2,Home,23,3382,54668,3,18.76,44.0,6.0,2018-04-14,7853.166666666667,581.5242563980204,9.989909672081586
A105,45145,Employed,48,1,879,5,0,0,24,2678,26515,93155,1,38,587,Bachelor,11431,Divorced,Mortgage,1.26,0,Education,27,7060,119670,9,19.61,40.0,17.0,2018-04-15,3762.0833333333335,345.4786533477673,32.547887562682924
A106,70881,Employed,48,0,324,1,0,0,19,1136,21804,1188,0,44,597,Master,34590,Divorced,Rent,30.4,1,Home,22,2050,3628,8,21.41,50.0,23.0,2018-04-16,5906.75,1078.7459927534082,23.748186274235547
A107,105240,Employed,108,3,391,6,1,0,26,2516,28628,33814,0,62,656,Associate,13937,Widowed,Mortgage,24.8,2,Home,32,1960,62442,4,22.97,55.0,39.0,2018-04-17,8770.0,306.2967978273697,7.950932700426109
A108,63709,Unemployed,48,0,623,2,0,0,18,136,12851,68037,0,42,517,Bachelor,22221,Single,Mortgage,2.83,3,Auto,41,3930,80888,3,26.54,57.0,18.0,2018-04-18,5309.083333333333,755.9988536919502,25.974330540902233
A109,31713,Self-Employed,48,1,314,2,0,0,6,231,43113,6605,0,43,487,Bachelor,38865,Married,Rent,24.9,3,Auto,20,395,49718,3,28.64,64.0,18.0,2018-04-19,2642.75,1368.7991547057259,63.676062991419016
A110,29900,Employed,72,3,589,3,0,0,4,2353,36682,2585,0,39,536,High School,23396,Single,Mortgage,10.3,0,Debt Consolidation,28,470,23801,6,29.94,54.0,17.0,2018-04-20,2491.6666666666665,702.9444141113916,51.850611937580936
A111,87673,Employed,72,3,725,4,0,1,19,551,5492,66069,1,18,608,Master,10667,Single,Mortgage,2.21,0,Auto,23,1134,71561,5,24.0,43.0,0.0,2018-04-21,7306.083333333333,280.8283031717702,13.766997408622085
A112,55454,Self-Employed,36,3,1206,5,0,0,13,1098,27329,5939,0,39,565,Bachelor,35551,Married,Mortgage,2.4,0,Auto,22,4159,33268,4,25.41,61.0,16.0,2018-04-22,4621.166666666667,1421.2219971277932,56.85192044854026
A113,40722,Employed,120,2,269,5,0,0,9,398,20184,121086,0,40,558,High School,31637,Married,Own,17.2,2,Auto,22,9140,141270,4,30.27,47.0,18.0,2018-04-23,3393.5,840.3242369550588,32.68967841329185
A114,76571,Employed,48,1,407,7,0,0,3,3117,5915,72093,0,69,680,Master,34173,Married,Rent,15.8,2,Home,20,2220,78008,7,19.11,46.0,49.0,2018-04-24,6380.916666666667,1023.7613920706921,22.42250552408654
